line;station_name
L1;ARC DE TRIOMF
L1;BARÓ DE VIVER
L1;BELVITGE
L1;CAN SERRA
L1;FABRA I PUÍG
L1;FLORIDA
L1;GLORIES
L1;HOSPITAL DE BELLVITGE
L1;HOSTAFRANCS
L1;MARÍNA
L1;MERCAT NOU
L1;NAVAS
L1;RAMBLA JUST OLIVERAS
L1;ROCAFORT
L1;SANT ANDREU
L1;SANTA COLOMA
L1;SANTA EULÁLIA
L1;TORRAS I BAGES
L1;TRINITAT VELLA
L1;URGELL
L1,L2;CLOT
L1,L2;UNIVERSITAT
L1,L3,L6,L7;CATALUNYA
L1,L3,L8;ESPANYA
L1,L4;URQUINAONA
L1,L5;PLAÇA DE SANTS
L1,L5,L10N,L9N;LA SAGRERA
L1,L8;AV.CARRILET
L1,L9N;FONDO
L1,L9S,L10S;TORRASSA
L10N;LA SALUT
L10N;LLEFIÀ
L10S;FOC
L10S;FONERIA
L11;CAN CUIÀS
L11;CASA DE L´AIGUA
L11;CIUTAT MERIDIANA
L11;TORRE BARÓ / VALBONA
L2;ARÍGUES / SANT ADRÍÀ
L2;BAC DE RODA
L2;BADALONA POMPEU FABRA
L2;ENCANTS
L2;MONUMENTAL
L2;PEP VENTURA
L2;SANT ANTONI
L2;SANT MARTÍ
L2;SANT ROC
L2;TETUAN
L2;VERNADA
L2,L10N;GORG
L2,L3;PARAL-LEL
L2,L3,L4;PASSEIG DE GRÀCIA
L2,L4;LA PAU
L2,L5;SAGRADA FAMILIA
L3;CANYELLES
L3;DRASSANES
L3;FONTANA
L3;LES CORTS
L3;LESSEPS
L3;LICEU
L3;MARÍA CRISTINA
L3;MONTBAU
L3;MUNDET
L3;PALAU REIAL
L3;PENITENTS
L3;PLAÇA DEL CENTRE
L3;POBLE SEC
L3;ROQUETES
L3;TARRAGONA
L3;VALLCARCA
L3;VALLDAURA
L3,L4,L11;TRINITAT NOVA
L3,L5;DIAGONAL
L3,L5;SANTS ESTACIÓ
L3,L5;VALL D'HEBRON
L3,L9S;ZONA UNIVERSITÀRIA
L4;ALFONS X
L4;BARCELONETA
L4;BESÒS
L4;BESÒS MAR
L4;BOGATELL
L4;CIUDADELLA / VILLA OLIMPICA
L4;EL MARESME / FÒRUM
L4;GIRONA
L4;GUÍNARDÓ / HOSPITAL DE SANT PAU
L4;JAUME I
L4;JOANIC
L4;LLACUNA
L4;LLUCMAJOR
L4;POBLENOU
L4;SELVA DE MAR
L4;VÍA JÚLIA
L4,L5;MARAGALL
L4,L5;VERDAGUER
L5;BADAL
L5;CAMP DE L´ARPA
L5;CAN BOIXERES
L5;CAN VIDELET
L5;CONGRÉS
L5;CORNELLÀ CENTRE
L5;EL CARMEL
L5;ENTENÇA
L5;GAVARRA
L5;HORTA
L5;HOSPITAL CLÍNIC
L5;EL COLL / LA TEIXONERA
L5;PUBILA CASES
L5;SANT ILDEFONS
L5;SANT PAU / DOS DE MAIG
L5;VILAPICINA
L5;VIRREI AMAT
L5,L9S,L10S;COLLBLANC
L6;LA BONANOVA
L6;LES TRES TORRES
L6;MUNTANER
L6;REINA ELISENDA
L6;SANT GERVASI
L6;SARRIÀ
L6,L7;GRÀCIA
L6,L7;PROVENÇA
L7;PLAÇA MOLINA
L7;PÀDUA
L7;EL PUTXET
L7;AVINGUDA TIBIDABO
L8;ALMEDA
L8;CORNELLÀ RIERA
L8;GORNAL
L8;ILDEFONS CERDÀ
L8;MAGÒRIA-LA CAMPANA
L8;MOLÍ NOU / CIUTAT COOPERATIVA
L8;SANT BOI
L8;SANT JOSEP
L8,L9S;EUROPA
L9N;CAN PEIXAUET
L9N;CAN ZAM
L9N;ESGLÉSIA MAJOR
L9N;SANTA ROSA
L9N;SINGUERLÍN
L9N,L10N;BON PASTOR
L9N,L10N;ONZE DE SETEMBRE
L9S;AEROPORT T1
L9S;AEROPORT T2
L9S;MAS BLAU
L9S;PARC NOU
L9S;CÈNTRIC
L9S;EL PRAT ESTACIÓ
L9S;LES MORERES
L9S;MERCABARNA
L9S;PARC LOGÍSTIC
L9S;FIRA
L9S,L10S;CAN TRIES GORNAL
