line;station_name
T5,T6;ALFONS EL MAGNÀNIM
T4;AUDITORI
T1,T2,T3;AVINGUDA DE XILE
T5,T6;BESÒS
T1,T2;BON VIATGE
T4;CA L'ARANYÓ
T1,T2,T3;CA N'OLIVERES
T4;CAMPUS DIAGONAL - BESÒS
T1,T2,T3;CAN CLOTA
T5,T6;CAN JAUMANDREU
T1,T2,T3;CAN RIGAL
T2;CENTRE MIQUEL MARTÍ I POL
T4;CIUTADELLA
T1,T2;CORNELLÀ CENTRE
T4;EL MARESME
T1,T2;EL PEDRÒ
T5;ENCANTS DE SANT ADRIÀ
T1,T2,T3;ERNEST LLUCH
T5,T6;ESPRONCEDA
T4,T6;ESTACIÓ DE SANT ADRIÀ
T4;FLUVIÀ
T1,T2;FONTSANTA
T4;FÒRUM
T1,T2,T3;FRANCESC MACIÀ
T4,T4,T6;GLÒRIES
T5;GORG
T3;HOSPITAL SANT JOAN DESPÍ / TV3
T1,T2;IGNASI IGLÉSIAS
T1,T2,T3;L'ILLA
T5;LA CATALANA
T5,T6;LA FARINERA
T2;LA FONTSANTA
T6;LA MINA
T1,T2,T3;LA SARDANA
T1,T2;LES AIGÜES
T2;LLEVANT - LES PLANES
T1,T2,T3;Mª CRISTINA
T4;MARINA
T1,T2,T3;MONTESA
T1,T2,T3;NUMÀNCIA
T1,T2,T3;PALAU REIAL
T5,T6;PARC DEL BESÓS
T4;PERE IV
T1,T2,T3;PIUS XII
T1,T2,T3;PONT D'ESPLUGUES
T4,T6;PORT FÒRUM
T3;RAMBLA DE SANT JUST
T3;"	
SANT FELIU/CONSELL COMARCAL"
T5;SANT JOAN BAPTISTA
T5,T6;SANT MARTÍ DE PROVENÇALS
T5;SANT ROC
T4;SELVA DE MAR
T3;TORREBLANCA
T3;WALDEN
T4;WELLINGTON
T1,T2,T3;ZONA UNIVERSITÀRIA
